approach,difficulty,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
opus_pdd_group_a3,easy,all,2,10,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,hard,all,2,10,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,medium,all,2,10,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_b1,easy,all,8,40,0.4,0.0,0.6,0.0,20.2,7.0,0.298,0.514,0.171,0.143,0.2
opus_pdd_group_b1,hard,all,8,40,0.025,0.0,0.975,0.0,24.625,11.2,0.018,0.8,0.029,0.029,0.743
opus_pdd_group_b1,medium,all,8,40,0.075,0.0,0.925,0.0,18.3,10.2,0.053,0.743,0.086,0.057,0.6
opus_pdd_group_b2,easy,all,8,40,0.375,0.0,0.625,0.0,20.55,7.0,0.275,0.629,0.171,0.2,0.257
opus_pdd_group_b2,hard,all,8,40,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.771,0.0,0.0,0.771
opus_pdd_group_b2,medium,all,8,40,0.025,0.0,0.975,0.0,18.4,10.2,0.025,0.686,0.029,0.0,0.657
opus_pdd_group_b3,easy,all,8,40,0.375,0.0,0.5,0.125,16.825,7.0,0.288,0.657,0.2,0.257,0.2
opus_pdd_group_b3,hard,all,8,40,0.025,0.0,0.85,0.125,21.6,11.2,0.015,0.857,0.029,0.171,0.657
opus_pdd_group_b3,medium,all,8,40,0.1,0.0,0.775,0.125,15.95,10.2,0.064,0.857,0.114,0.2,0.543
opus_sdd,easy,all,1,5,0.0,0.0,1.0,0.0,25.6,7.0,0.0,,,,
opus_sdd,hard,all,1,5,0.0,0.0,1.0,0.0,24.8,11.2,0.0,,,,
opus_sdd,medium,all,1,5,0.0,0.0,1.0,0.0,18.6,10.2,0.0,,,,
opus_sdd_a,easy,all,4,20,0.7,0.0,0.3,0.0,15.75,7.0,0.481,0.733,0.333,0.267,0.133
opus_sdd_a,hard,all,4,20,0.15,0.0,0.85,0.0,23.95,11.2,0.074,1.0,0.2,0.067,0.733
opus_sdd_a,medium,all,4,20,0.35,0.0,0.65,0.0,16.6,10.2,0.272,0.933,0.333,0.2,0.4
opus_sdd_b,easy,all,4,20,0.6,0.0,0.4,0.0,18.25,7.0,0.414,0.533,0.267,0.133,0.133
opus_sdd_b,hard,all,4,20,0.15,0.0,0.85,0.0,24.1,11.2,0.07,0.667,0.067,0.067,0.533
opus_sdd_b,medium,all,4,20,0.15,0.0,0.85,0.0,17.9,10.2,0.108,0.667,0.067,0.067,0.533
opus_sdd_c,easy,all,4,20,1.0,0.0,0.0,0.0,12.05,7.0,0.65,0.133,0.133,0.0,0.0
opus_sdd_c,hard,all,4,20,0.1,0.0,0.9,0.0,24.0,11.2,0.055,0.8,0.067,0.0,0.733
opus_sdd_c,medium,all,4,20,0.3,0.0,0.7,0.0,16.3,10.2,0.269,0.533,0.067,0.0,0.467
oracle,easy,all,1,5,1.0,0.0,0.0,0.0,11.8,7.0,0.66,,,,
oracle,hard,all,1,5,0.4,0.0,0.6,0.0,22.0,11.2,0.278,,,,
oracle,medium,all,1,5,0.0,0.0,1.0,0.0,18.6,10.2,0.0,,,,
random_baseline,easy,all,1,5,0.0,0.0,1.0,0.0,25.6,7.0,0.0,,,,
random_baseline,hard,all,1,5,0.0,0.0,1.0,0.0,24.8,11.2,0.0,,,,
random_baseline,medium,all,1,5,0.0,0.0,1.0,0.0,18.6,10.2,0.0,,,,
target,easy,all,2,10,1.0,0.0,0.0,0.0,10.2,7.0,0.706,1.0,0.4,0.4,0.2
target,hard,all,2,10,0.5,0.0,0.5,0.0,19.6,11.2,0.388,1.0,0.0,1.0,0.0
target,medium,all,2,10,0.5,0.0,0.5,0.0,16.0,10.2,0.378,1.0,0.0,1.0,0.0
