approach,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
gpt_sdd_b,dead_end,4,12,0.083,0.0,0.667,0.25,17.667,10.667,0.038,1.0,0.111,0.333,0.556
gpt_sdd_b,single_detour,4,24,0.333,0.0,0.417,0.25,15.958,8.5,0.131,0.944,0.222,0.444,0.278
gpt_sdd_b,straight_line,4,4,0.75,0.0,0.0,0.25,3.0,4.0,0.75,0.333,0.0,0.333,0.0
gpt_sdd_c,corridor,4,8,0.25,0.0,0.5,0.25,11.5,11.0,0.212,1.0,0.167,0.5,0.333
gpt_sdd_c,counterintuitive,4,12,0.0,0.0,0.75,0.25,18.0,11.0,0.0,1.0,0.0,0.333,0.667
gpt_sdd_c,dead_end,4,12,0.083,0.0,0.667,0.25,17.583,10.667,0.053,1.0,0.111,0.333,0.556
gpt_sdd_c,single_detour,4,24,0.25,0.0,0.5,0.25,15.75,8.5,0.122,1.0,0.222,0.444,0.333
gpt_sdd_c,straight_line,4,4,0.75,0.0,0.0,0.25,3.0,4.0,0.75,0.333,0.0,0.333,0.0
opus_pdd,corridor,5,10,0.0,0.0,1.0,0.0,17.5,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd,counterintuitive,5,15,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd,dead_end,5,15,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
opus_pdd,single_detour,5,30,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
opus_pdd,straight_line,5,5,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,corridor,5,10,0.0,0.0,1.0,0.0,17.5,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,counterintuitive,5,15,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,dead_end,5,15,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,single_detour,5,30,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,straight_line,5,5,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,corridor,3,6,0.0,0.0,1.0,0.0,17.5,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,counterintuitive,3,9,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,dead_end,3,9,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,single_detour,3,18,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,straight_line,3,3,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,corridor,2,4,0.0,0.0,1.0,0.0,17.5,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,counterintuitive,2,6,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,dead_end,2,6,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,single_detour,2,12,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,straight_line,2,2,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,corridor,2,4,0.0,0.0,1.0,0.0,17.5,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,counterintuitive,2,6,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,dead_end,2,6,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,single_detour,2,12,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,straight_line,2,2,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_b1,corridor,8,16,0.062,0.0,0.938,0.0,17.0,11.0,0.062,0.643,0.071,0.0,0.571
opus_pdd_group_b1,counterintuitive,8,24,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.762,0.0,0.0,0.762
opus_pdd_group_b1,dead_end,8,24,0.042,0.0,0.958,0.0,23.708,10.667,0.029,0.857,0.048,0.048,0.762
opus_pdd_group_b1,single_detour,8,48,0.25,0.0,0.75,0.0,21.75,8.5,0.147,0.667,0.167,0.167,0.333
opus_pdd_group_b1,straight_line,8,8,0.75,0.0,0.25,0.0,8.0,4.0,0.75,0.143,0.143,0.0,0.0
opus_pdd_group_b2,corridor,8,16,0.062,0.0,0.938,0.0,17.0,11.0,0.062,0.786,0.071,0.0,0.714
opus_pdd_group_b2,counterintuitive,8,24,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.81,0.0,0.0,0.81
opus_pdd_group_b2,dead_end,8,24,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.667,0.0,0.0,0.667
opus_pdd_group_b2,single_detour,8,48,0.188,0.0,0.812,0.0,22.125,8.5,0.104,0.714,0.119,0.167,0.429
opus_pdd_group_b2,straight_line,8,8,0.75,0.0,0.25,0.0,8.0,4.0,0.75,0.143,0.143,0.0,0.0
opus_pdd_group_b3,corridor,8,16,0.0,0.0,0.875,0.125,15.312,11.0,0.0,0.857,0.0,0.143,0.714
opus_pdd_group_b3,counterintuitive,8,24,0.0,0.0,0.875,0.125,21.0,11.0,0.0,0.857,0.0,0.143,0.714
opus_pdd_group_b3,dead_end,8,24,0.042,0.0,0.833,0.125,20.833,10.667,0.025,0.857,0.048,0.19,0.619
opus_pdd_group_b3,single_detour,8,48,0.292,0.0,0.583,0.125,18.042,8.5,0.189,0.786,0.238,0.286,0.262
opus_pdd_group_b3,straight_line,8,8,0.625,0.0,0.25,0.125,7.5,4.0,0.625,0.286,0.143,0.143,0.0
opus_sdd,corridor,1,2,0.0,0.0,1.0,0.0,17.5,11.0,0.0,,,,
opus_sdd,counterintuitive,1,3,0.0,0.0,1.0,0.0,24.0,11.0,0.0,,,,
opus_sdd,dead_end,1,3,0.0,0.0,1.0,0.0,24.0,10.667,0.0,,,,
opus_sdd,single_detour,1,6,0.0,0.0,1.0,0.0,24.333,8.5,0.0,,,,
opus_sdd,straight_line,1,1,0.0,0.0,1.0,0.0,20.0,4.0,0.0,,,,
opus_sdd_a,corridor,4,8,0.375,0.0,0.625,0.0,14.5,11.0,0.375,0.833,0.167,0.167,0.5
opus_sdd_a,counterintuitive,4,12,0.083,0.0,0.917,0.0,23.917,11.0,0.032,1.0,0.111,0.0,0.889
opus_sdd_a,dead_end,4,12,0.333,0.0,0.667,0.0,21.5,10.667,0.207,1.0,0.444,0.222,0.333
opus_sdd_a,single_detour,4,24,0.5,0.0,0.5,0.0,18.708,8.5,0.278,0.944,0.389,0.278,0.278
opus_sdd_a,straight_line,4,4,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
opus_sdd_b,corridor,4,8,0.375,0.0,0.625,0.0,15.75,11.0,0.271,0.667,0.167,0.167,0.333
opus_sdd_b,counterintuitive,4,12,0.167,0.0,0.833,0.0,23.5,11.0,0.07,0.667,0.0,0.111,0.556
opus_sdd_b,dead_end,4,12,0.083,0.0,0.917,0.0,23.333,10.667,0.046,0.667,0.111,0.0,0.556
opus_sdd_b,single_detour,4,24,0.333,0.0,0.667,0.0,20.875,8.5,0.178,0.667,0.222,0.111,0.333
opus_sdd_b,straight_line,4,4,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
opus_sdd_c,corridor,4,8,0.5,0.0,0.5,0.0,13.5,11.0,0.5,0.333,0.0,0.0,0.333
opus_sdd_c,counterintuitive,4,12,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.889,0.0,0.0,0.889
opus_sdd_c,dead_end,4,12,0.333,0.0,0.667,0.0,21.5,10.667,0.207,0.667,0.222,0.0,0.444
opus_sdd_c,single_detour,4,24,0.667,0.0,0.333,0.0,15.708,8.5,0.375,0.333,0.111,0.0,0.222
opus_sdd_c,straight_line,4,4,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
oracle,corridor,1,2,0.0,0.0,1.0,0.0,17.5,11.0,0.0,,,,
oracle,counterintuitive,1,3,0.333,0.0,0.667,0.0,21.667,11.0,0.228,,,,
oracle,dead_end,1,3,0.333,0.0,0.667,0.0,21.667,10.667,0.235,,,,
oracle,single_detour,1,6,0.667,0.0,0.333,0.0,15.5,8.5,0.383,,,,
oracle,straight_line,1,1,1.0,0.0,0.0,0.0,4.0,4.0,1.0,,,,
random_baseline,corridor,1,2,0.0,0.0,1.0,0.0,17.5,11.0,0.0,,,,
random_baseline,counterintuitive,1,3,0.0,0.0,1.0,0.0,24.0,11.0,0.0,,,,
random_baseline,dead_end,1,3,0.0,0.0,1.0,0.0,24.0,10.667,0.0,,,,
random_baseline,single_detour,1,6,0.0,0.0,1.0,0.0,24.333,8.5,0.0,,,,
random_baseline,straight_line,1,1,0.0,0.0,1.0,0.0,20.0,4.0,0.0,,,,
target,corridor,2,4,0.5,0.0,0.5,0.0,16.0,11.0,0.372,1.0,0.0,1.0,0.0
target,counterintuitive,2,6,0.5,0.0,0.5,0.0,19.333,11.0,0.371,1.0,0.0,1.0,0.0
target,dead_end,2,6,0.5,0.0,0.5,0.0,18.667,10.667,0.401,1.0,0.0,1.0,0.0
target,single_detour,2,12,0.833,0.0,0.167,0.0,12.75,8.5,0.596,1.0,0.167,0.667,0.167
target,straight_line,2,2,1.0,0.0,0.0,0.0,6.5,4.0,0.722,1.0,1.0,0.0,0.0
